"node_1","node_2","edge"
10731,113907,1
10734,113907,2
10765,113907,5
10775,113907,2
10777,113907,2
10790,113907,2
10792,113907,1
10793,113907,2
10796,113907,2
10819,113907,2
1084,113907,3
10852,113907,5
1091,113907,2
11024517,113907,5
11026082,113907,2
11105,113907,2
11128,113907,5
113147,113907,3
11335,113907,2
1,11410,3
10021,11410,3
10047,11410,2
10063,11410,3
10131,11410,3
10149,11410,5
1025,11410,2
1039,11410,3
10395,11410,5
10450,11410,1
10675006,11410,3
10707,11410,2
10708,11410,5
10710,11410,3
10716,11410,5
10717,11410,3
10721,11410,3
10723,11410,3
10726,11410,3
10731,11410,5
10734,11410,3
10737,11410,2
10743,11410,2
10749,11410,2
10753,11410,2
10761,11410,4
10764,11410,2
10765,11410,5
10766,11410,2
10775,11410,3
10777,11410,5
10778,11410,2
10780,11410,3
10787,11410,1
10790,11410,2
10792,11410,5
10795,11410,3
10796,11410,2
1084,11410,3
10852,11410,1
1087,11410,3
10893,11410,3
1091,11410,2
11024517,11410,3
11026082,11410,5
11128,11410,3
1116,11410,5
11291,11410,1
113147,11410,2
113907,11410,3
1,11411,3
10021,11411,5
10041,11411,4
10063,11411,1
10128,11411,2
10149,11411,5
1025,11411,3
10395,11411,3
10450,11411,3
10675006,11411,1
10707,11411,2
10708,11411,3
10710,11411,3
10713,11411,4
10716,11411,3
10721,11411,3
10723,11411,3
10725,11411,1
10731,11411,3
10734,11411,2
10737,11411,2
10743,11411,3
10749,11411,3
10751,11411,1
10753,11411,4
10761,11411,3
10764,11411,4
10765,11411,3
10766,11411,3
10769,11411,3
10777,11411,3
10778,11411,1
10780,11411,3
10782,11411,3
10787,11411,4
10790,11411,3
10792,11411,3
10793,11411,5
10796,11411,1
10819,11411,4
1084,11411,1
10852,11411,3
1087,11411,3
1091,11411,3
11024517,11411,3
11105,11411,3
11128,11411,2
11291,11411,3
11335,11411,3
1,1146,2
10021,1146,4
10041,1146,3
10063,1146,3
10149,1146,3
10675006,1146,3
10707,1146,5
10708,1146,1
10710,1146,3
10713,1146,3
10716,1146,3
10717,1146,3
10723,1146,3
10725,1146,3
10734,1146,3
10737,1146,3
10743,1146,3
10749,1146,2
10751,1146,2
10753,1146,3
10761,1146,3
10764,1146,3
10769,1146,2
10775,1146,1
10777,1146,4
10780,1146,1
10782,1146,2
10790,1146,3
10792,1146,3
10793,1146,5
10795,1146,3
10796,1146,2
1084,1146,3
10852,1146,3
1087,1146,3
11026082,1146,3
11105,1146,2
1116,1146,5
11291,1146,1
11335,1146,2
11410,1146,3
11411,1146,2
1,1147,5
10021,1147,3
10063,1147,3
10149,1147,3
1025,1147,3
10395,1147,5
10675006,1147,2
10707,1147,3
10708,1147,5
10713,1147,3
10716,1147,5
10717,1147,3
10725,1147,3
10726,1147,3
10731,1147,2
10734,1147,3
10737,1147,3
10743,1147,5
10749,1147,5
10753,1147,2
10761,1147,1
10764,1147,2
10765,1147,1
10766,1147,1
10769,1147,5
10774,1147,1
10777,1147,5
10778,1147,1
10782,1147,5
10790,1147,2
10792,1147,3
10793,1147,3
10795,1147,3
10796,1147,4
10819,1147,3
10852,1147,1
1087,1147,2
1091,1147,3
11024517,1147,1
11026082,1147,1
11105,1147,3
11128,1147,1
1116,1147,2
11291,1147,3
11410,1147,3
11411,1147,3
1146,1147,3
1,11470,5
10021,11470,2
10041,11470,2
10063,11470,3
10128,11470,1
10129,11470,1
10131,11470,2
10149,11470,5
1039,11470,1
10395,11470,5
105204,11470,2
10675006,11470,1
10707,11470,4
10708,11470,3
10710,11470,5
10713,11470,3
10716,11470,5
10717,11470,2
10721,11470,3
10723,11470,3
10726,11470,3
10731,11470,5
10734,11470,2
10737,11470,1
10743,11470,4
10749,11470,5
10751,11470,1
10753,11470,5
10761,11470,4
10764,11470,2
10765,11470,1
10766,11470,2
10769,11470,3
10777,11470,3
10778,11470,2
10780,11470,5
10782,11470,5
10787,11470,5
10790,11470,3
10792,11470,3
10793,11470,5
10795,11470,3
10796,11470,1
10819,11470,3
1084,11470,3
10852,11470,1
1087,11470,2
1091,11470,3
11024517,11470,3
11026082,11470,2
11105,11470,3
11128,11470,1
1116,11470,3
113147,11470,2
11410,11470,3
11411,11470,3
1146,11470,3
1147,11470,2
1,11511,3
10021,11511,3
10041,11511,5
10063,11511,2
10128,11511,3
10131,11511,3
10149,11511,5
1025,11511,5
10395,11511,5
10450,11511,3
10675006,11511,2
10707,11511,5
10708,11511,5
10710,11511,3
10713,11511,5
10716,11511,5
10717,11511,2
10721,11511,5
10723,11511,3
10725,11511,3
10726,11511,2
10731,11511,5
10734,11511,3
10737,11511,3
10743,11511,5
10749,11511,5
10751,11511,3
10753,11511,3
10761,11511,5
10764,11511,5
10765,11511,5
10766,11511,4
10769,11511,5
10777,11511,4
10778,11511,3
10780,11511,5
10782,11511,3
10787,11511,5
10790,11511,5
10792,11511,5
10793,11511,3
10795,11511,3
10796,11511,2
10819,11511,3
1084,11511,3
10852,11511,5
1087,11511,1
1091,11511,5
11024517,11511,3
11026082,11511,3
11105,11511,3
1116,11511,3
11291,11511,1
113147,11511,1
11335,11511,3
113907,11511,2
11410,11511,4
11411,11511,3
1146,11511,4
1147,11511,5
11470,11511,5
1,116,5
10021,116,5
10041,116,5
10047,116,3
10063,116,2
10128,116,3
10131,116,3
10149,116,5
1025,116,3
1039,116,2
10395,116,5
10450,116,3
10670,116,2
10707,116,3
10708,116,3
10710,116,5
10713,116,3
10716,116,5
10717,116,3
10721,116,3
10723,116,5
10725,116,1
10726,116,3
