"node_1","node_2","edge"
22215170,13810580,5
4722,13810580,1
290457,13810580,1
951542,13810580,2
4416,13810580,1
18824,13810580,5
19289,13810580,5
38564263,13810580,1
20472,13810580,5
16197305,13810580,5
27494,13810580,5
133498,13810580,5
252646,13810580,5
12225620,13810580,5
22011,13810580,5
194847,13810580,5
314136,13810580,5
363191,13810580,5
621600,13810580,5
626924,13810580,5
693430,13810580,5
2330585,13810580,5
12225603,13810580,5
13793124,13810580,5
4807,13810582,5
229103,13810582,5
278389,13810582,5
252304,13810582,5
13810583,13810582,3
100247,13810582,5
14103,13810582,5
278107,13810582,5
22285489,13810582,1
85534,13810582,5
20131,13810582,1
26355171,13810582,3
19733,13810582,5
31629106,13810582,5
22215170,13810582,5
4722,13810582,2
290457,13810582,3
951542,13810582,1
4416,13810582,1
19874,13810582,2
18824,13810582,5
19104,13810582,1
19289,13810582,5
20103,13810582,5
20472,13810582,5
20666,13810582,3
16197305,13810582,5
121931,13810582,1
27494,13810582,5
133498,13810582,5
252646,13810582,5
12225620,13810582,5
22011,13810582,5
194847,13810582,5
314136,13810582,5
363191,13810582,5
621600,13810582,5
626924,13810582,5
693430,13810582,5
2330585,13810582,5
12225603,13810582,5
13793124,13810582,5
13810580,13810582,5
4807,15733780,5
229103,15733780,5
278389,15733780,5
252304,15733780,5
13810583,15733780,2
100247,15733780,5
14103,15733780,5
278107,15733780,5
85534,15733780,5
26355171,15733780,1
19733,15733780,2
31629106,15733780,5
22215170,15733780,5
290457,15733780,1
18824,15733780,5
19289,15733780,5
20472,15733780,3
16197305,15733780,5
27494,15733780,5
133498,15733780,5
252646,15733780,5
12225620,15733780,5
22011,15733780,5
194847,15733780,5
314136,15733780,5
363191,15733780,5
621600,15733780,5
626924,15733780,5
693430,15733780,5
2330585,15733780,5
12225603,15733780,5
13793124,15733780,5
13810580,15733780,5
13810582,15733780,5
4807,16036618,5
229103,16036618,5
278389,16036618,5
252304,16036618,5
100247,16036618,5
14103,16036618,5
278107,16036618,5
22285489,16036618,1
85534,16036618,5
19733,16036618,2
31629106,16036618,5
22215170,16036618,5
18824,16036618,3
19289,16036618,5
20472,16036618,2
16197305,16036618,5
27494,16036618,5
133498,16036618,5
252646,16036618,5
12225620,16036618,5
22011,16036618,5
194847,16036618,5
314136,16036618,5
363191,16036618,5
621600,16036618,5
626924,16036618,5
693430,16036618,5
2330585,16036618,5
12225603,16036618,5
13793124,16036618,5
13810580,16036618,5
13810582,16036618,5
15733780,16036618,5
4807,16039877,5
229103,16039877,5
278389,16039877,5
252304,16039877,5
13810583,16039877,2
100247,16039877,5
14103,16039877,5
278107,16039877,5
22285489,16039877,2
85534,16039877,5
376766,16039877,1
19733,16039877,3
31629106,16039877,5
22215170,16039877,5
4722,16039877,5
4416,16039877,1
18824,16039877,5
19289,16039877,5
20472,16039877,5
16197305,16039877,5
27494,16039877,5
133498,16039877,5
252646,16039877,5
12225620,16039877,5
22011,16039877,5
194847,16039877,5
314136,16039877,5
363191,16039877,5
621600,16039877,5
626924,16039877,5
693430,16039877,5
2330585,16039877,5
12225603,16039877,5
13793124,16039877,5
13810580,16039877,5
13810582,16039877,5
15733780,16039877,5
16036618,16039877,5
4807,22215384,5
229103,22215384,5
278389,22215384,5
252304,22215384,5
100247,22215384,5
14103,22215384,5
278107,22215384,5
85534,22215384,5
26355171,22215384,1
19733,22215384,2
31629106,22215384,5
22215170,22215384,5
4722,22215384,5
4416,22215384,1
18824,22215384,5
19289,22215384,5
38564263,22215384,2
20472,22215384,4
16197305,22215384,3
27494,22215384,5
133498,22215384,5
252646,22215384,5
12225620,22215384,5
22011,22215384,5
194847,22215384,5
314136,22215384,5
363191,22215384,5
621600,22215384,5
626924,22215384,5
693430,22215384,5
2330585,22215384,5
12225603,22215384,5
13793124,22215384,5
13810580,22215384,5
13810582,22215384,5
15733780,22215384,5
16036618,22215384,5
16039877,22215384,5
4807,22215412,5
229103,22215412,5
278389,22215412,5
252304,22215412,5
13810583,22215412,4
100247,22215412,5
14103,22215412,5
278107,22215412,5
22285489,22215412,1
85534,22215412,5
26355171,22215412,1
19733,22215412,1
31629106,22215412,5
22215170,22215412,5
290457,22215412,2
951542,22215412,1
4416,22215412,1
18824,22215412,5
19289,22215412,5
20472,22215412,4
16197305,22215412,5
22215032,22215412,2
27494,22215412,5
133498,22215412,5
252646,22215412,5
12225620,22215412,5
22011,22215412,5
194847,22215412,5
314136,22215412,5
363191,22215412,5
621600,22215412,5
626924,22215412,5
693430,22215412,5
2330585,22215412,5
12225603,22215412,5
